10/06/20,14:45:58,0,0,0,0,0,0,0,0,0,6.1911,300,0,0,0
10/06/20,14:47:35,1,0,0,0,0,0,255,255,255,6.2075,300,0,0,0
10/06/20,14:48:38,1,0,0,0,0,0,255,255,255,6.2077,300,0,0,0
10/06/20,14:49:41,1,0,0,0,0,0,255,255,255,6.2080,300,0,0,0
10/06/20,14:50:45,1,0,0,0,0,0,255,255,255,6.2077,300,0,0,0
10/06/20,14:51:48,1,0,0,0,0,0,255,255,255,6.2080,300,0,0,0
10/06/20,14:53:45,0,0,0,0,1,0,0,0,0,7.0000,300,0,0,0
10/06/20,14:54:48,0,0,0,0,1,0,0,0,0,7.0000,300,0,0,0
10/06/20,14:55:51,0,0,0,0,1,0,0,0,0,7.0000,300,0,0,0
10/06/20,14:56:55,0,0,0,0,1,0,0,0,0,7.0000,300,0,0,0
10/06/20,14:57:58,0,0,0,0,1,0,0,0,0,7.0000,300,0,0,0
10/06/20,14:59:01,0,0,0,0,1,0,0,0,0,7.0000,300,0,0,0
10/06/20,15:00:04,0,0,0,0,1,0,0,0,0,7.0000,300,0,0,0
06/07/20,09:41:31,0,0,0,0,0,0,0,0,0,4.1232,300,0,0,0
06/07/20,09:42:35,0,0,0,0,0,0,0,0,0,11.4968,300,0,0,0
06/07/20,09:43:38,0,0,0,0,1,0,0,0,0,10.6144,300,0,0,0
06/07/20,09:44:41,0,0,0,0,0,0,0,0,0,2.4869,300,0,0,0
06/07/20,09:45:44,0,0,0,0,1,0,0,0,0,9.1309,300,0,0,0
06/07/20,09:46:48,0,0,0,0,1,0,0,0,0,10.6761,300,0,0,0
06/07/20,09:47:51,0,0,0,0,0,0,0,0,0,3.5192,300,0,0,0
06/07/20,09:48:54,0,0,0,0,1,0,0,0,0,9.6093,300,0,0,0
06/07/20,09:49:57,0,0,0,0,1,0,0,0,0,8.7979,300,0,0,0
